trt,rep,dias,verdor,e1_sev,e2_sev,af_sana,sev_tot
1,1,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
1,1,9,88.6666666666667,4.6125,3.7125,80.3416666666667,8.325
1,1,20,86.6666666666667,4.69551282051282,6.46031746031746,75.5108363858364,11.1558302808303
1,1,29,95,6.6406015037594,1.05263157894737,87.3067669172932,7.69323308270677
1,2,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
1,2,9,95.3333333333333,4.66875,4.675,85.9895833333333,9.34375
1,2,20,100,6.85333333333333,3,90.1466666666667,9.85333333333333
1,2,29,75,6.25,0,68.75,6.25
1,3,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
1,3,9,90.3333333333333,4.4041706054753,2.816584077281,83.112578650577,7.2207546827563
1,3,20,90,4.25843621399177,2.25608465608466,83.4854791299236,6.51452087007643
1,3,29,100,5.95,0.75,93.3,6.7
1,4,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
1,4,9,93.547619047619,4.51287574413667,3.50122075819502,85.5335225452873,8.01409650233169
1,4,20,96.4285714285714,5.02434842249657,6.47222222222222,84.9320007838526,11.4965706447188
1,4,29,80,4.03125,2.265625,73.703125,6.296875
2,1,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
2,1,9,95.3333333333333,3.15,1.9,90.2833333333333,5.05
2,1,20,100,2.43386243386243,2.8015873015873,94.7645502645503,5.23544973544973
2,1,29,100,3.58333333333333,0.5,95.9166666666667,4.08333333333333
2,2,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
2,2,9,95.3333333333333,1.3,3.48,90.5533333333333,4.78
2,2,20,100,7.17241379310345,3.18103448275862,89.6465517241379,10.3534482758621
2,2,29,100,2.66979166666667,0,97.3302083333333,2.66979166666667
2,3,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
2,3,9,95.3333333333333,1.93516993211526,2.93814139703272,90.4600220041853,4.87331132914798
2,3,20,100,7.19987654320988,2.2,90.6001234567901,9.39987654320988
2,3,29,85,4.58823529411765,0,80.4117647058824,4.58823529411765
2,4,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
2,4,9,93.6091954022988,2.4181524506415,3.25218038407186,87.9388625675854,5.67033283471336
2,4,20,96.551724137931,5.38052721088435,1.48809523809524,89.6831016889514,6.86862244897959
2,4,29,95,3.98684210526316,0.263157894736842,90.75,4.25
3,1,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
3,1,9,95.3333333333333,2,0.81,92.5233333333333,2.81
3,1,20,100,4.46111111111111,2.17777777777778,93.3611111111111,6.63888888888889
3,1,29,100,3.63222222222222,1,95.3677777777778,4.63222222222222
3,2,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
3,2,9,95.3333333333333,0.33,0.5,94.5033333333333,0.83
3,2,20,100,4.25740740740741,4.77777777777778,90.9648148148148,9.03518518518519
3,2,29,100,2.05333333333333,0.825,97.1216666666667,2.87833333333333
3,3,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
3,3,9,95.3333333333333,1.70700476385581,0.402255411322227,93.2240731581553,2.10926017517804
3,3,20,100,4.90148148148148,1.24,93.8585185185185,6.14148148148148
3,3,29,100,2.37609649122807,0,97.6239035087719,2.37609649122807
3,4,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
3,4,9,93.6666666666667,1.01367971781001,0.641241578660795,92.0117453701959,1.65492129647081
3,4,20,96.6666666666667,4.61494252873563,3.36206896551724,88.6896551724138,7.97701149425287
3,4,29,95,2.57894736842105,0,92.4210526315789,2.57894736842105
4,1,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
4,1,9,93.6091954022988,1.22,2.48,89.9091954022988,3.7
4,1,20,96.551724137931,4.06938775510204,1.36607142857143,91.1162649542575,5.43545918367347
4,1,29,100,1.66444444444444,0.3,98.0355555555556,1.96444444444444
4,2,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
4,2,9,95.3333333333333,3.015,4.2,88.1183333333333,7.215
4,2,20,100,6.4515873015873,4.74285714285714,88.8055555555556,11.1944444444444
4,2,29,95,6.83035714285714,0.526315789473684,87.6433270676692,7.35667293233082
4,3,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
4,3,9,95.3333333333333,2.16770854709493,3.22681390041539,89.938810885823,5.39452244751032
4,3,20,100,4.04169312169312,4.76,91.1983068783069,8.80169312169312
4,3,29,95,4.96240601503759,0.315789473684211,89.7218045112782,5.2781954887218
4,4,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
4,4,9,95.3333333333333,2.16646734203505,4.20262370052787,88.9642422907704,6.36909104256292
4,4,20,100,3.55518518518519,1.90555555555556,94.5392592592592,5.46074074074075
4,4,29,100,2.25,0.9,96.85,3.15
5,1,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
5,1,9,92,1.05,1.96,88.99,3.01
5,1,20,93.3333333333333,9.52683295540439,1.41369047619048,82.3928099017384,10.9405234315949
5,1,29,100,2.07017543859649,0,97.9298245614035,2.07017543859649
5,2,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
